company_name,company_country_code,company_city,company_market,investor_name,investor_country_code,investor_city,funded_at,funded_month,funded_year,raised_amount_usd,company_name_lower,unicorn_flag
Kabam,USA,San Francisco,Games,Canaan Partners,USA,Menlo Park,05/26/2011 00:00,2011-05,2011,85000000,kabam,TRUE
Kabam,USA,San Francisco,Games,Canaan Partners,USA,Menlo Park,10/01/2009 00:00,2009-10,2009,5500000,kabam,TRUE
Lending Club,USA,San Francisco,Finance Technology,Canaan Partners,USA,Menlo Park,03/19/2009 00:00,2009-03,2009,12000000,lendingclub,TRUE
Lending Club,USA,San Francisco,Finance Technology,Canaan Partners,USA,Menlo Park,08/03/2011 00:00,2011-08,2011,25000000,lendingclub,TRUE
Lending Club,USA,San Francisco,Finance Technology,Canaan Partners,USA,Menlo Park,08/23/2007 00:00,2007-08,2007,10260000,lendingclub,TRUE
Instacart,USA,San Francisco,Groceries,Canaan Partners,USA,Menlo Park,10/15/2012 00:00,2012-10,2012,2300000,instacart,TRUE
Kabam,USA,San Francisco,Games,Canaan Partners,USA,Menlo Park,01/20/2011 00:00,2011-01,2011,30000000,kabam,TRUE
Lending Club,USA,San Francisco,Finance Technology,Canaan Partners,USA,Menlo Park,04/14/2010 00:00,2010-04,2010,24500000,lendingclub,TRUE
Kabam,USA,San Francisco,Games,Canaan Partners,USA,Menlo Park,09/01/2007 00:00,2007-09,2007,4000000,kabam,TRUE
Accolade,USA,Plymouth Meeting,,Carrick Capital Partners,USA,San Francisco,12/22/2013 00:00,2013-12,2013,30000000,accolade,TRUE
NJOY,USA,Scottsdale,Health and Wellness,Catterton Partners,USA,Greenwich,04/09/2012 00:00,2012-04,2012,20000000,njoy,TRUE
Evernote,USA,Redwood City,Software,CBC Capital,CHN,Beijing,05/03/2012 00:00,2012-05,2012,70000000,evernote,TRUE
Tujia,,,Travel,CBC Capital,CHN,Beijing,02/16/2013 00:00,2013-02,2013,40000000,tujia,TRUE
Tujia,,,Travel,CDH Investments,,,02/16/2013 00:00,2013-02,2013,40000000,tujia,TRUE
Tujia,,,Travel,CDH Investments,,,05/16/2012 00:00,2012-05,2012,15000000,tujia,TRUE
VANCL,CHN,Beijing,E-Commerce,Ceyuan Ventures,HKG,Hong Kong,12/01/2010 00:00,2010-12,2010,100000000,vancl,TRUE
Deem,USA,San Francisco,E-Commerce,Chase Capital Partners,USA,New York,09/09/2009 00:00,2009-09,2009,40000000,deem,TRUE
Deem,USA,San Francisco,E-Commerce,Chase Capital Partners,USA,New York,04/01/2008 00:00,2008-04,2008,100000000,deem,TRUE
OZON.ru,RUS,Moscow,E-Commerce,Cisco,USA,San Jose,04/03/2007 00:00,2007-04,2007,18000000,ozon.ru,TRUE
