index,company_name,company_market,company_country_code,raised_amount_usd
2770,Mocana,Mobile Security,USA,60000000.0
5321,mobli,Curated Web,ISR,60000000.0
213,Alloy Digital,Advertising,USA,60000000.0
2477,Living Proof,Biotechnology,USA,60000000.0
4854,Vormetric,Enterprise Software,USA,60000000.0
3915,Sharp Corporation,Hardware + Software,JPN,60000000.0
4341,Syros Pharmaceuticals,Biotechnology,USA,60000000.0
3879,Sensible Medical Innovations,Biotechnology,ISR,60000000.0
2173,JAMF Software,Software,USA,60000000.0
4129,Space-Time Insight,Software,USA,60000000.0
2133,IntelePeer,Unifed Communications,USA,60000000.0
3895,Sequenta,Biotechnology,USA,60000000.0
1119,CrowdStrike,Security,USA,60000000.0
395,Avanti Mining,None,CAN,60000000.0
4373,Taboola,Content Discovery,USA,60000000.0
3670,RetailNext,Analytics,USA,60000000.0
830,Change.org,Curated Web,USA,60000000.0
3438,Project Frog,Clean Technology,USA,60000000.0
4639,Tuniu,Travel,CHN,60000000.0
4595,Trevena,Biotechnology,USA,60000000.0
1172,DTT,Technology,USA,60000000.0
1934,Hearsay Social,Financial Services,USA,60000000.0
2237,Kaiam,Semiconductors,USA,60006855.0
1050,Convercent,Enterprise Software,USA,60400000.0
3144,Oxford Nanopore Technologies,Nanotechnology,GBR,60610057.0
2989,Nomi,Retail,USA,61000000.0
3365,PolyTherics,Biotechnology,GBR,61367682.0
912,Clearleap,Television,USA,61500000.0
2526,Lucibel,Security,HKG,61805318.0
3568,Radius Inc.,Enterprises,USA,62000000.0
4929,WhiteHat Security,Security,USA,62000000.0
2744,Mister Spex,Sunglasses,DEU,62289600.0
3812,Scanadu,Medical,USA,63000000.0
2510,Lolly Wolly Doodle,E-Commerce,USA,63758958.0
3123,Origene Technologies,Biotechnology,USA,63900000.0
2192,Jibe,Employment,USA,64000000.0
216,Alphabet Energy,Clean Technology,USA,64000000.0
287,AppNeta,Enterprises,USA,64000000.0
5003,Xamarin,Testing,USA,64000000.0
1625,Flatiron Health,Health and Wellness,USA,64000000.0
3545,Qwilt,Software,USA,64000000.0
2092,Inkling Systems,Cloud Infrastructure,USA,64000000.0
218,Alpine Data Labs,Big Data Analytics,USA,64000000.0
5075,ZeOmega,Biotechnology,USA,64500000.0
1599,Financeit,Financial Services,CAN,65000000.0
3202,Parsley Energy,Clean Technology,USA,65000000.0
4182,Sprinklr,Social CRM,USA,65000000.0
3041,ObsEva,Biotechnology,CHE,65873920.0
3262,Personalis,Biotechnology,USA,66000000.0
1337,Dwolla,Software,USA,66000000.0
2822,MovableInk,Advertising,USA,66000000.0
3217,PaxVax,Biotechnology,USA,66000000.0
2524,Loxo Oncology,Biotechnology,USA,66000000.0
2406,LearnVest,Finance,USA,66000000.0
3666,Restorando,Curated Web,ARG,66500000.0
5089,Zenverge,Semiconductors,USA,66513536.0
2107,InsideView,SaaS,USA,68000000.0
5239,foodpanda / hellofood,Hospitality,DEU,68000000.0
2077,Infinio,Software,USA,68000000.0
4855,Vox Media,Sports,USA,68000000.0
643,Brand Networks,Software,USA,68000000.0
370,August,Security,USA,68000000.0
2125,Instart Logic,E-Commerce,USA,68000000.0
4496,Theraclone Sciences,Therapeutics,USA,68000000.0
775,CareCloud,Electronic Health Records,USA,69000000.0
2530,Lumena Pharmaceuticals,Biotechnology,USA,69000000.0
